id,text,rating,source,category
1,Pricing is too high for sorting feature.,4,web,pricing
2,I keep getting an error on profile update screen.,3,email,bug
3,The font size is too small on integration with serviceX pages.,3,email,ux
4,The font size is too small on sorting pages.,3,chat,ux
5,"I'd love a feature that can dark mode. Also, Please add uploading photos to improve recently.",2,web,feature
6,Pricing is too high for dark mode feature.,3,email,pricing
7,Navigation is hard; I expected two-factor auth to be easier.,1,mobile,ux
8,"The search button doesn't work, it just recently.",4,web,bug
9,The new layout is confusing and I can't uploading photos.,1,web,ux
10,"Navigation is hard; I expected checkout to be easier. Also, Excellent support when I uploading photos.",5,mobile,ux
11,I keep getting an error on payments screen.,3,email,bug
12,"Excellent support when I logging in. Also, Pricing is too high for filters feature.",1,email,praise
13,"The payments button doesn't work, it just recently. Also, App crashes when I try to search.",3,email,bug
14,Great experience with sync — thank you!,4,email,praise
15,The new layout is confusing and I can't uploading photos.,1,web,ux
16,"Loving the app, payments works great!",5,mobile,praise
17,Need support for profile update integrations.,3,chat,feature
18,"The search button doesn't work, it just without errors.",4,mobile,bug
19,"Pricing is too high for filters feature. Also, The font size is too small on two-factor auth pages.",5,chat,pricing
20,I'd love a feature that can filters.,4,email,feature
21,The new layout is confusing and I can't uploading photos.,2,chat,ux
22,Navigation is hard; I expected search to be easier.,1,chat,ux
23,App crashes when I try to sharing.,3,email,bug
24,The new layout is confusing and I can't two-factor auth.,1,web,ux
25,"Please add sharing to improve every time. Also, Need support for uploading photos integrations.",3,mobile,feature
26,Please add notifications to improve every time.,1,email,feature
27,"I keep getting an error on dark mode screen. Also, No comment, just checking in.",4,mobile,bug
28,I have a general question about sorting.,1,chat,other
29,The font size is too small on signup pages.,5,email,ux
30,I have a general question about integration with serviceX.,2,chat,other
31,"Loving the app, sorting works great!",4,mobile,praise
32,Not sure how to use the app for sync.,4,web,other
33,"The font size is too small on integration with serviceX pages. Also, I was charged twice when I checkout.",2,web,ux
34,Subscription plans are confusing; I want uploading photos option.,5,mobile,pricing
35,Great experience with uploading photos — thank you!,5,mobile,praise
36,"The signup button doesn't work, it just every time.",3,mobile,bug
37,"The sharing button doesn't work, it just every time. Also, App crashes when I try to two-factor auth.",1,mobile,bug
38,App crashes when I try to profile update.,4,web,bug
39,App crashes when I try to signup.,2,mobile,bug
40,I keep getting an error on dark mode screen.,1,email,bug
41,I have a general question about profile update.,3,chat,other
42,"No comment, just checking in.",1,mobile,other
43,I'd love a feature that can two-factor auth.,4,web,feature
44,"Please add profile update to improve quickly. Also, Great experience with signup — thank you!",4,chat,feature
45,"Loving the app, payments works great! Also, The two-factor auth button doesn't work, it just without errors.",4,web,praise
46,The font size is too small on uploading photos pages.,4,mobile,ux
47,"App crashes when I try to sorting. Also, No comment, just checking in.",4,web,bug
48,"Subscription plans are confusing; I want payments option. Also, Excellent support when I signup.",3,chat,pricing
49,I was charged twice when I notifications.,4,web,pricing
50,I keep getting an error on signup screen.,4,mobile,bug
51,Please add uploading photos to improve every time.,4,chat,feature
52,Excellent support when I sharing.,2,mobile,praise
53,"Loving the app, dark mode works great!",3,mobile,praise
54,"I keep getting an error on signup screen. Also, I was charged twice when I sorting.",4,web,bug
55,Not sure how to use the app for sharing.,2,web,other
56,"Need support for notifications integrations. Also, The profile update button doesn't work, it just every time.",1,mobile,feature
57,Subscription plans are confusing; I want profile update option.,1,email,pricing
58,"Not sure how to use the app for uploading photos. Also, I'd love a feature that can profile update.",1,mobile,other
59,The font size is too small on checkout pages.,1,email,ux
60,"The new layout is confusing and I can't sorting. Also, Great experience with integration with serviceX — thank you!",1,mobile,ux
61,"The dark mode button doesn't work, it just without errors.",3,email,bug
62,App crashes when I try to sync.,1,mobile,bug
63,Navigation is hard; I expected checkout to be easier.,2,web,ux
64,"App crashes when I try to uploading photos. Also, Pricing is too high for dark mode feature.",5,web,bug
65,"The payments button doesn't work, it just every time. Also, The font size is too small on logging in pages.",4,email,bug
66,I was charged twice when I uploading photos.,2,web,pricing
67,"Not sure how to use the app for filters. Also, The font size is too small on profile update pages.",2,mobile,other
68,"Loving the app, sync works great!",1,mobile,praise
69,I keep getting an error on uploading photos screen.,4,web,bug
70,Great experience with notifications — thank you!,4,email,praise
71,"I have a general question about dark mode. Also, Not sure how to use the app for integration with serviceX.",4,mobile,other
72,Excellent support when I signup.,5,web,praise
